"runId";"test name";"dim";"algo";"running time (s)";"comparsions count"
"0";"square";"1000";"my";"0,0239";"55407"
"0";"square";"1000";"ENLU";"0,135664";"179284"
"0";"square";"1000";"NSGA2";"0,064223";"999000"
"0";"parallel fronts";"1000";"my";"0,003414";"34348"
"0";"parallel fronts";"1000";"ENLU";"0,017617";"72633"
"0";"parallel fronts";"1000";"NSGA2";"0,028707";"999000"
"0";"circle fronts";"1000";"my";"0,042059";"111130"
"0";"circle fronts";"1000";"ENLU";"0,127592";"489917"
"0";"circle fronts";"1000";"NSGA2";"0,028734";"999000"
"0";"stripe";"1000";"my";"0,008557";"97198"
"0";"stripe";"1000";"ENLU";"0,041703";"267886"
"0";"stripe";"1000";"NSGA2";"0,02162";"999000"
"0";"diag";"1000";"my";"0,001037";"16973"
"0";"diag";"1000";"ENLU";"0,00093";"999"
"0";"diag";"1000";"NSGA2";"0,016753";"999000"
"1";"square";"1000";"my";"0,002557";"59223"
"1";"square";"1000";"ENLU";"0,011306";"185550"
"1";"square";"1000";"NSGA2";"0,026329";"999000"
"1";"parallel fronts";"1000";"my";"0,001428";"33662"
"1";"parallel fronts";"1000";"ENLU";"0,00189";"72414"
"1";"parallel fronts";"1000";"NSGA2";"0,01835";"999000"
"1";"circle fronts";"1000";"my";"0,004249";"107330"
"1";"circle fronts";"1000";"ENLU";"0,060207";"482548"
"1";"circle fronts";"1000";"NSGA2";"0,022728";"999000"
"1";"stripe";"1000";"my";"0,006648";"91335"
"1";"stripe";"1000";"ENLU";"0,045686";"246065"
"1";"stripe";"1000";"NSGA2";"0,022594";"999000"
"1";"diag";"1000";"my";"0,000684";"16973"
"1";"diag";"1000";"ENLU";"0,001499";"999"
"1";"diag";"1000";"NSGA2";"0,033667";"999000"
"2";"square";"1000";"my";"0,002459";"56059"
"2";"square";"1000";"ENLU";"0,013991";"187547"
"2";"square";"1000";"NSGA2";"0,027224";"999000"
"2";"parallel fronts";"1000";"my";"0,001802";"34938"
"2";"parallel fronts";"1000";"ENLU";"0,001841";"73293"
"2";"parallel fronts";"1000";"NSGA2";"0,021437";"999000"
"2";"circle fronts";"1000";"my";"0,007974";"104600"
"2";"circle fronts";"1000";"ENLU";"0,092952";"436669"
"2";"circle fronts";"1000";"NSGA2";"0,037252";"999000"
"2";"stripe";"1000";"my";"0,007231";"84366"
"2";"stripe";"1000";"ENLU";"0,062502";"231535"
"2";"stripe";"1000";"NSGA2";"0,027074";"999000"
"2";"diag";"1000";"my";"0,000364";"16973"
"2";"diag";"1000";"ENLU";"0,000813";"999"
"2";"diag";"1000";"NSGA2";"0,019685";"999000"
"3";"square";"1000";"my";"0,00223";"56671"
"3";"square";"1000";"ENLU";"0,010999";"187480"
"3";"square";"1000";"NSGA2";"0,022216";"999000"
"3";"parallel fronts";"1000";"my";"0,001087";"33425"
"3";"parallel fronts";"1000";"ENLU";"0,002127";"80707"
"3";"parallel fronts";"1000";"NSGA2";"0,01862";"999000"
"3";"circle fronts";"1000";"my";"0,003885";"105618"
"3";"circle fronts";"1000";"ENLU";"0,072205";"458247"
"3";"circle fronts";"1000";"NSGA2";"0,027093";"999000"
"3";"stripe";"1000";"my";"0,003952";"83719"
"3";"stripe";"1000";"ENLU";"0,039106";"235518"
"3";"stripe";"1000";"NSGA2";"0,021682";"999000"
"3";"diag";"1000";"my";"0,000368";"16973"
"3";"diag";"1000";"ENLU";"0,000764";"999"
"3";"diag";"1000";"NSGA2";"0,016734";"999000"
"4";"square";"1000";"my";"0,002234";"57501"
"4";"square";"1000";"ENLU";"0,013582";"199281"
"4";"square";"1000";"NSGA2";"0,025596";"999000"
"4";"parallel fronts";"1000";"my";"0,00171";"35353"
"4";"parallel fronts";"1000";"ENLU";"0,002718";"76832"
"4";"parallel fronts";"1000";"NSGA2";"0,022325";"999000"
"4";"circle fronts";"1000";"my";"0,008233";"109995"
"4";"circle fronts";"1000";"ENLU";"0,073381";"468552"
"4";"circle fronts";"1000";"NSGA2";"0,032817";"999000"
"4";"stripe";"1000";"my";"0,005016";"90901"
"4";"stripe";"1000";"ENLU";"0,048996";"245991"
"4";"stripe";"1000";"NSGA2";"0,027459";"999000"
"4";"diag";"1000";"my";"0,000644";"16973"
"4";"diag";"1000";"ENLU";"0,001447";"999"
"4";"diag";"1000";"NSGA2";"0,026468";"999000"
"5";"square";"1000";"my";"0,002179";"57166"
"5";"square";"1000";"ENLU";"0,01145";"184288"
"5";"square";"1000";"NSGA2";"0,023951";"999000"
"5";"parallel fronts";"1000";"my";"0,000925";"33726"
"5";"parallel fronts";"1000";"ENLU";"0,001856";"76055"
"5";"parallel fronts";"1000";"NSGA2";"0,017674";"999000"
"5";"circle fronts";"1000";"my";"0,004257";"105134"
"5";"circle fronts";"1000";"ENLU";"0,060617";"467488"
"5";"circle fronts";"1000";"NSGA2";"0,022864";"999000"
